text,label
"An expired TLS certificate caused secure client connections to fail.",security_issue
"Security monitoring detected repeated authentication failures across multiple user accounts.",security_issue
"A firewall misconfiguration exposed internal services to the public internet.",security_issue
"The security audit discovered that sensitive credentials had been committed to the source code repository.",security_issue
"An unauthorized API token was used to access protected cloud resources.",security_issue
"The SIEM platform generated a high-severity alert for suspicious account activity.",security_issue
"All application services are operating normally and responding within the expected response time.",normal
"System monitoring confirms that CPU, memory, and disk utilization are within normal operating thresholds.",normal
"The production environment completed all scheduled health checks successfully.",normal
"Application users are successfully accessing all services without any reported issues.",normal
"The Kubernetes cluster is healthy and all pods are running without errors.",normal
"CloudWatch reports that all monitored resources are operating within normal limits.",normal
"The web application successfully processed all incoming requests during peak traffic.",normal
"The database is accepting connections and query response times are within acceptable limits.",normal
"The load balancer reports that all backend targets are healthy.",normal
"The CI/CD pipeline completed successfully and the deployment finished without errors.",normal
"The application passed all readiness and liveness health checks.",normal
"The monitoring dashboard shows no active alerts across the production environment.",normal
"All scheduled backups completed successfully without any warnings or failures.",normal
"The API is responding normally and all endpoints returned successful responses.",normal
"The production infrastructure remains stable with no abnormal events detected.",normal
"Routine system monitoring confirms that all services are functioning correctly.",normal
"The platform is operating normally and no incidents require administrator attention.",normal
